ncm;trib
730890;st
73089010;st
73089010;st
73089090;st
73089090;st
731700;st
74111010;st
74182000;st
76071990;st
76090000;st
76152000;st
83021000;st
83024100;st
85219090;st
73231000;st
28289011;st
28289019;st
32064100;st
38089419;st
34025000;st
38099190;st
3402;st
34012090;st
38089419;st
34012090;st
38089419;st
34025000;st
34025000;st
34025000;st
39232;st
69120000;st
40169990;st
